time,length,id
90,4,7490673
90,9,11369291
45,10,11369291
90,4,6807511
45,1,6807511
90,5,10408417
45,3,10408417
90,6,9602952
45,1,9602952
90,5,11369326
45,5,11369326
90,6,11407513
90,3,5764592
90,9,9603157
45,2,9603157
90,2,10389999
45,3,10389999
90,4,4061061
90,3,5764636
90,5,8280755
45,1,8280755
90,7,10408327
45,2,10408327
90,3,6807485
45,1,6807485
90,4,7490858
45,2,7490858
90,5,7298503
45,3,7298503
90,7,11369332
45,3,11369332
90,5,9603122
45,5,9603122
90,6,8738536
45,2,8738536
90,3,7490821
90,6,11406829
45,1,11406829
90,4,6830416
45,2,6830416
90,6,8833477
45,2,8833477
90,4,5764380
90,5,9302949
45,3,9302949
90,5,8896980
45,3,8896980
90,5,9603087
45,2,9603087
90,4,7490835
90,3,6807570
90,4,10389839
90,4,6807623
45,2,6807623
90,5,7490687
45,1,7490687
90,11,10196388
45,1,10196388
90,6,10978541
45,4,10978541
90,3,6807420
90,8,9602944
45,4,9602944
90,4,11369447
45,1,11369447
90,5,10408639
45,3,10408639
90,4,10408436
45,2,10408436
90,3,5764756
90,4,8280934
90,4,10389944
45,4,10389944
90,3,9603007
45,1,9603007
90,6,10408462
45,3,10408462
90,6,11057918
45,2,11057918
90,3,9567971
90,6,4061267
90,9,10408285
45,5,10408285
90,4,6807576
45,1,6807576
90,5,11369383
45,6,11369383
90,10,10408258
90,6,10837099
45,3,10837099
90,6,9602720
45,4,9602720
90,5,7490591
45,1,7490591
90,5,6770962
45,1,6770962
90,4,10408421
45,1,10408421
90,4,8120412
45,5,8120412
90,4,6770865
45,1,6770865
90,4,6807398
90,5,8280929
45,3,8280929
90,6,9302907
45,4,9302907
90,6,11643594
90,5,7490648
45,1,7490648
90,4,7090148
45,2,7090148
90,5,9603123
45,3,9603123
90,6,10408310
45,2,10408310
90,4,10408350
90,4,9645113
45,1,9645113
90,4,6807522
90,7,11842698
45,4,11842698
90,3,6784771
45,1,6784771
90,4,8272123
45,3,8272123
90,5,7349349
45,2,7349349
90,3,5786224
90,5,7498368
45,1,7498368
90,2,7459198
45,2,7459198
90,6,11957213
45,4,11957213
90,8,11369488
45,8,11369488
90,4,4061069
45,1,4061069
90,5,11392812
45,5,11392812
90,4,8280714
45,3,8280714
90,8,9603137
45,1,9603137
90,6,9602890
90,7,10408261
45,1,10408261
90,5,10408591
45,1,10408591
90,8,8245942
45,6,8245942
90,6,9645124
45,1,9645124
90,6,9602904
45,2,9602904
90,5,11407484
45,2,11407484
90,3,7490612
45,3,7490612
90,4,4157739
45,2,4157739
90,7,8678489
45,3,8678489
90,9,11352428
45,2,11352428
90,5,10408306
45,6,10408306
90,6,11396328
45,4,11396328
90,4,7490842
45,3,7490842
90,3,9799261
45,1,9799261
90,6,11220503
45,3,11220503
90,4,7895401
90,5,8280875
45,3,8280875
90,4,7895586
45,2,7895586
90,4,7438666
90,3,5764610
45,1,5764610
90,4,9594389
45,1,9594389
90,9,10408471
45,4,10408471
90,4,9602842
90,9,10408316
90,6,10089492
45,4,10089492
90,4,9603006
45,4,9603006
90,7,9602715
45,3,9602715
90,9,10408628
45,5,10408628
90,4,7490597
90,2,5764154
90,4,5786390
45,2,5786390
90,3,10408491
45,8,10408491
90,6,7895517
